id,reviewerName,hotelId,overallScore,reviewText,cleanlinessScore,comfortScore,serviceScore,foodScore,locationScore
414,Hyang I. M. ,1000000000000,4.0,Standard Hotel. Small room. No beach yard. But quite good breakfast services.,3.0,4.0,4.0,4.0,4.0
551,Liana H. ,1000000000000,4.5,"Poor service, hot A / C, unfriendly response from staff.",4.0,4.5,4.5,4.5,4.5
2001,Oriana O. ,1000000000000,4.5,"So ugly hotel... dark room, dark hotel, breakfast was bad.",4.0,4.5,4.5,4.5,4.5
3201,Putu D. R. ,1000000000000,4.5,they sold the broken room but didn't have responsibility,4.0,4.5,4.5,4.5,4.5
3444,Sylvia V. ,1000000000000,4.5,"The worst experience ever staying in this hotel, service is super bad the operational system is bad even my room service bill is not showing and I am the one that need to pay without the bill, crazy right? No bell boy helping for stuff. Front office all h",4.0,4.5,4.5,4.5,4.5
3488,Buddy S. I. ,1000000000000,4.5,Room to small. Location far away from every where.,4.0,4.5,4.5,4.5,4.5
3589,Chae C. ,1000000000000,4.5,"Not as good as in the photo, totally different .",4.0,4.5,4.5,4.5,4.5
4490,Maharani P. H. ,1000000000000,4.5,"Very poor hotel : service and breakfast, nothing bell service staff",4.0,4.5,4.5,4.5,4.5
1100,Maria I. G. M. ,1000000000000,5.5,"service is lacking, the breakfast menu is not good. Checked us to the room not escorted by the officer. Carry your own items to the room. in the room there are no bath towels, when I go home they are held at the receptionist saying the towel is gone. ðŸ˜­",6.0,5.5,5.5,5.5,5.5
1302,Kusbianto K. ,1000000000000,5.5,"The first time we came in accordance with the direction of the security guard to park in the basement, Shock becker and our axle was hit by a bump when going into the basement parking lot where the bumps at the entrance area were too steep not to compare.",4.0,5.5,5.5,5.5,5.5
2597,Vilda V. ,1000000000000,5.5,Service is not good. ignorant.,6.0,5.5,5.5,5.5,5.5
3663,Anggya F. ,1000000000000,5.5,"Gokil, the price is expensive, room facilities like an old hotel, the room is really humid, the bed is also wet, the area is jammed, the food is not good.",6.0,5.5,5.5,5.5,5.5
3746,Ivonne P. ,1000000000000,5.5,"Cleanliness of room comfort was minimal, breakfast was not satisfactory, swimming pool very dirty.",4.0,5.5,5.5,5.5,5.5
4231,Low C. K. ,1000000000000,5.5,Very boring breakfast. Taste no good.,6.0,5.5,5.5,5.5,5.5
4578,Cristianto W. ,1000000000000,5.5,"+ direct beach view + pretty clean room - only 1 floor because 1 building 2 hotel, so kutabex only on the 1st floor - no view because on the 1st floor - poor quality wifi - bfast blends in with other hotels - bfast food is not good",8.0,5.5,5.5,5.5,5.5
4802,Fitry H. ,1000000000000,5.5,"I stayed at Kutabex hoping to relax in the room waiting for the afternoon flight, but it turned out the room was hot, the AC was not cold at all. All of them can&#39;t sleep, the fridge doesn&#39;t turn on, asking for a double bed instead of giving a sing",4.0,5.5,5.5,5.5,5.5
78,Sunarti S. ,1000000000000,6.0,There are not enough cars in the car 1 looking for food is also difficult dirty room lots of sand the mattress is also dirty lots of sand may also not be cleaned already. The rooms are actually nice the bathroom is also good just when I enter a lot of san,6.0,6.0,6.0,6.0,6.0
133,Megawati M. ,1000000000000,6.0,"Noisy, Construction sounds so loud. ",6.0,6.0,6.0,6.0,6.0
